Date,week_day,hour,state,road_id,km,city,cause_of_accident,type_of_accident,victims_condition,weather_timestamp,road_direction,wheather_condition,road_type,road_delineation,people,deaths,slightly_injured,severely_injured,uninjured,ignored,total_injured,vehicles_involved,latitude,longitude,regional,police_station
08/26/2023,saturday,3:50:00 AM,SC,470,154,AGRONOMICA,Driver's lack of reaction,Broadside collision,With injured victims,Night,Decreasing,Drizzle,Simple,Straight,3,0,1,0,2,0,1,3,-27.27541,-49.74299,SPRF-SC,DEL04-SC
08/26/2023,saturday,12:11:00 AM,RJ,116,141,DUQUE DE CAXIAS,Driver's lack of reaction,Fall of vehicle occupant,With injured victims,Night,Increasing,Rainy,Double,Not Reported,1,0,1,0,0,0,1,1,-22.64724,-43.22083,SPRF-RJ,DEL01-RJ
08/26/2023,saturday,6:55:00 AM,PR,277,652,MATELANDIA,Alcohol ingestion by the driver,Collision with object,Without victims,Sunrise,Decreasing,Clear sky,Simple,Curve,1,0,0,0,1,0,0,1,-25.20467,-53.94913,SPRF-PR,DEL05-PR
08/26/2023,saturday,7:08:00 AM,RJ,116,193,QUEIMADOS,Driver's lack of reaction,Fall of vehicle occupant,With injured victims,Day,Increasing,Rainy,Double,Straight,1,0,1,0,0,0,1,1,-22.7396,-43.52859,SPRF-RJ,DEL01-RJ
08/26/2023,saturday,6:40:00 AM,MG,381,"794,2",SAO GONCALO DO SAPUCAI,Driver's lack of reaction,Run-off-road,With injured victims,Day,Increasing,Rainy,Double,Curve,3,0,2,0,1,0,2,1,-21.90956,-45.56546,SPRF-MG,DEL16-MG
08/25/2023,friday,5:38:00 AM,RJ,NA,NA,TERESOPOLIS,Incompatible velocity,Run-off-road,With injured victims,Sunrise,Not informed,Cloudy,Simple,Curve,1,0,1,0,0,0,1,1,-22.26074,-42.92306,SPRF-RJ,DEL04-RJ
08/26/2023,saturday,6:00:00 AM,MG,116,"496,4",INHAPIM,Driver's lack of reaction,Run-off-road,With injured victims,Day,Decreasing,Cloudy,Simple,Curve,1,0,1,0,0,0,1,1,-19.52773,-42.1272,SPRF-MG,DEL06-MG
08/26/2023,saturday,7:25:00 AM,PE,101,70,RECIFE,Acessing the road without seeing the presence of other vehicles,Fall of vehicle occupant,With injured victims,Day,Increasing,Sunny,Double,Straight,1,0,1,0,0,0,1,1,-8.067761,-34.94265,SPRF-PE,DEL01-PE
08/25/2023,friday,10:40:00 PM,BA,324,399,NOVA FATIMA,Lane change maneuver,Run-off-road,With injured victims,Night,Increasing,Clear sky,Simple,Straight,2,0,1,0,1,0,1,1,-11.57411,-39.66471,SPRF-BA,DEL04-BA
08/26/2023,saturday,7:45:00 AM,PE,101,39,IGARASSU,Unexpected pedestrian entry,Pedestrian collision,With injured victims,Day,Decreasing,Clear sky,Double,Curve,3,0,2,0,1,0,2,1,-7.812599,-34.9189,SPRF-PE,DEL01-PE
